"Date","Subway","Subway7DayAverage"
2021-02-24,1809852,1432963.57142857
2021-02-25,1801708,1492578
2021-02-26,1826171,1529355.57142857
2021-02-27,1074256,1523967.85714286
2021-02-28,811043,1520252.42857143
2021-03-01,1699607,1536605.85714286
2021-03-02,1752983,1539374.28571429
2021-03-03,1850000,1545109.71428571
2021-03-04,1812200,1546608.57142857
2021-03-05,1829185,1547039.14285714
2021-03-06,1167887,1560415
2021-03-07,894177,1572291.28571429
2021-03-08,1722930,1575623.14285714
2021-03-09,1837670,1587721.28571429
2021-03-10,1852702,1588107.28571429
2021-03-11,1885584,1598590.71428571
2021-03-12,1917972,1611274.57142857
2021-03-13,1257372,1624058.14285714
2021-03-14,923968,1628314
2021-03-15,1733288,1629793.71428571
2021-03-16,1801682,1624652.57142857
2021-03-17,1869879,1627106.42857143
2021-03-18,1774375,1611219.42857143
2021-03-19,1910080,1610092
2021-03-20,1307403,1617239.28571429
2021-03-21,1013386,1630013.28571429
2021-03-22,1805084,1640269.85714286
2021-03-23,1883301,1651929.71428571
2021-03-24,1831662,1646470.14285714
2021-03-25,1929515,1668633
2021-03-26,1941782,1673161.85714286
2021-03-27,1374266,1682713.71428571
2021-03-28,807247,1653265.28571429
2021-03-29,1745540,1644759
2021-03-30,1885343,1645050.71428571
2021-03-31,1812072,1642252.14285714
2021-04-01,1845249,1630214.14285714
2021-04-02,1760768,1604355
2021-04-03,1319964,1596597.57142857
2021-04-04,951260,1617170.85714286
2021-04-05,1822134,1628112.85714286
2021-04-06,1946071,1636788.28571429
2021-04-07,1989179,1662089.28571429
2021-04-08,2017306,1686668.85714286
2021-04-09,2030410,1725189.14285714
2021-04-10,1392745,1735586.42857143
2021-04-11,900666,1728358.71428571
2021-04-12,1849254,1732233
2021-04-13,2016030,1742227.14285714
2021-04-14,2021936,1746906.71428571
2021-04-15,1910326,1731623.85714286
2021-04-16,2082447,1739057.71428571
2021-04-17,1425036,1743670.71428571
2021-04-18,1082503,1769647.42857143
2021-04-19,1914960,1779034
2021-04-20,2086630,1789119.71428571
2021-04-21,1969710,1781658.85714286
2021-04-22,2044069,1800765
2021-04-23,2125087,1806856.42857143
2021-04-24,1520057,1820430.85714286
2021-04-25,985027,1806505.71428571
2021-04-26,1959131,1812815.85714286
2021-04-27,2045718,1806971.28571429
2021-04-28,2139820,1831272.71428571
2021-04-29,2032405,1829606.42857143
2021-04-30,2163175,1835047.57142857
2021-05-01,1515211,1834355.28571429
2021-05-02,1153471,1858418.71428571
2021-05-03,1974754,1860650.57142857
2021-05-04,2124252,1871869.71428571
2021-05-05,2078394,1863094.57142857
2021-05-06,2204111,1887624
2021-05-07,2241860,1898864.71428571
2021-05-08,1444674,1888788
2021-05-09,1108734,1882397
2021-05-10,1993889,1885130.57142857
2021-05-11,2152549,1889173
2021-05-12,2186470,1904612.42857143
2021-05-13,2167164,1899334.28571429
2021-05-14,2270937,1903488.14285714
2021-05-15,1637242,1930997.85714286
2021-05-16,1201918,1944309.85714286
2021-05-17,2026574,1948979.14285714
2021-05-18,2154370,1949239.28571429
2021-05-19,2261916,1960017.28571429
2021-05-20,2273912,1975267
2021-05-21,2336140,1984581.71428571
2021-05-22,1647055,1985983.57142857
2021-05-23,1270286,1995750.42857143
2021-05-24,2123129,2009544
2021-05-25,2275628,2026866.57142857
2021-05-26,2280311,2029494.42857143
2021-05-27,2356638,2041312.42857143
2021-05-28,2236646,2027099
2021-05-29,1371467,1987729.28571429
2021-05-30,1066132,1958564.42857143
2021-05-31,1391302,1854017.71428571
2021-06-01,2263536,1852290.28571429
2021-06-02,2348517,1862034
2021-06-03,2238336,1845133.71428571
2021-06-04,2314340,1856232.85714286
2021-06-05,1792204,1916338.14285714
2021-06-06,1363344,1958797
2021-06-07,2227613,2078270
2021-06-08,2270152,2079215.14285714
2021-06-09,2390612,2085228.71428571
2021-06-10,2478619,2119554.85714286
2021-06-11,2472629,2142167.57142857
2021-06-12,1775538,2139786.71428571
2021-06-13,1379959,2142160.28571429
2021-06-14,2227391,2142128.57142857
2021-06-15,2474710,2171351.14285714
2021-06-16,2524189,2190433.57142857
2021-06-17,2557486,2201700.28571429
2021-06-18,2576562,2216547.85714286
2021-06-19,1784312,2217801.28571429
2021-06-20,1389352,2219143.14285714
2021-06-21,2268969,2225082.85714286
2021-06-22,2359521,2208627.28571429
2021-06-23,2552443,2212663.57142857
2021-06-24,2557684,2212691.85714286
2021-06-25,2587425,2214243.71428571
2021-06-26,1855861,2224465
2021-06-27,1561403,2249043.71428571
2021-06-28,2256926,2247323.28571429
2021-06-29,2348456,2245742.57142857
2021-06-30,2350864,2216945.57142857
2021-07-01,2297059,2179713.42857143
2021-07-02,2300302,2138695.85714286
2021-07-03,1543756,2094109.42857143
2021-07-04,1470325,2081098.28571429
2021-07-05,1497714,1972639.42857143
2021-07-06,2306692,1966673.14285714
2021-07-07,2442092,1979705.71428571
2021-07-08,2369035,1989988
2021-07-09,2322712,1993189.42857143
2021-07-10,1783921,2027498.71428571
2021-07-11,1367403,2012795.57142857
2021-07-12,2249975,2120261.42857143
2021-07-13,2462643,2142540.14285714
2021-07-14,2522633,2154046
2021-07-15,2586791,2185154
2021-07-16,2541195,2216365.85714286
2021-07-17,1717480,2206874.28571429
2021-07-18,1405344,2212294.42857143
2021-07-19,2332473,2224079.85714286
2021-07-20,2467017,2224704.71428571
2021-07-21,2509502,2222828.85714286
2021-07-22,2587338,2222907
2021-07-23,2557043,2225171
2021-07-24,1852402,2244445.57142857
2021-07-25,1364830,2238657.85714286
2021-07-26,2323169,2237328.71428571
2021-07-27,2493079,2241051.85714286
2021-07-28,2539760,2245374.42857143
2021-07-29,2433507,2223398.57142857
2021-07-30,2562489,2224176.57142857
2021-07-31,1841007,2222548.71428571
2021-08-01,1351294,2220615
2021-08-02,2338722,2222836.85714286
2021-08-03,2489064,2222263.28571429
2021-08-04,2534018,2221443
2021-08-05,2534287,2235840.14285714
2021-08-06,2523944,2230333.71428571
2021-08-07,1780458,2221683.85714286
2021-08-08,1333885,2219196.85714286
2021-08-09,2294279,2212847.85714286
2021-08-10,2447231,2206871.71428571
2021-08-11,2480877,2199280.14285714
2021-08-12,2453353,2187718.14285714
2021-08-13,2434624,2174958.14285714
2021-08-14,1718222,2166067.28571429
2021-08-15,1430620,2179886.57142857
2021-08-16,2292396,2179617.57142857
2021-08-17,2432692,2177540.57142857
2021-08-18,2450516,2173203.28571429
2021-08-19,2444495,2171937.85714286
2021-08-20,2460924,2175695
2021-08-21,1716439,2175440.28571429
2021-08-22,745800,2077608.85714286
2021-08-23,2056731,2043942.42857143
2021-08-24,2467406,2048901.57142857
2021-08-25,2503420,2056459.28571429
2021-08-26,2485132,2062264.57142857
2021-08-27,2392602,2052504.28571429
2021-08-28,1661095,2044598
2021-08-29,1400642,2138146.85714286
2021-08-30,2325695,2176570.28571429
2021-08-31,2537974,2186651.42857143
2021-09-01,2298999,2157448.42857143
2021-09-02,1664178,2040169.28571429
2021-09-03,2394842,2040489.28571429
2021-09-04,1779743,2057439
2021-09-05,1416893,2059760.57142857
2021-09-06,1523354,1945140.42857143
2021-09-07,2238469,1902354
2021-09-08,2534847,1936046.57142857
2021-09-09,2708091,2085177
2021-09-10,2845820,2149602.42857143
2021-09-11,1985273,2178963.85714286
2021-09-12,1591655,2203929.85714286
2021-09-13,2858929,2394726.28571429
2021-09-14,3017947,2506080.28571429
2021-09-15,2993744,2571637
2021-09-16,2539853,2547603
2021-09-17,3034676,2574582.42857143
2021-09-18,2017430,2579176.28571429
2021-09-19,1598720,2580185.57142857
2021-09-20,2889759,2584589.85714286
2021-09-21,3025310,2585641.71428571
2021-09-22,3027925,2590524.71428571
2021-09-23,3022830,2659521.42857143
2021-09-24,3128041,2672859.28571429
2021-09-25,2132211,2689256.57142857
